Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
CENTROPOD @ CHANGI,80 Changi Road  #02-13 ,19,Strata,501100,26374,2450,10-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #02-05 ,17,Strata,485000,28529,2650,10-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #01-06 ,20,Strata,753500,37675,3500,10-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #02-56 ,16,Strata,430600,26913,2500,10-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
MILLAGE,55 Changi Road  #01-21 ,13,Strata,791000,60846,5653,11-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
WIS@CHANGI,116 Changi Road  #01-18 ,22,Strata,639900,29086,2702,11-APR-2012,Retail,Freehold,New Sale,14,41,419718,Central Region,Geylang
N.A.,26/28 Lorong 13 Geylang ,225,Land,3800000,16904,1570,06-MAR-2012,Retail,Freehold,Resale,14,38,388671,Central Region,Geylang
CITY PLAZA,810 Geylang Road  #02-06 ,22,Strata,750000,34091,3167,21-MAR-2012,Retail,Freehold,Resale,14,40,409286,Central Region,Geylang
N.A.,238/238A/238B Sims Avenue ,209,Land,3650000,17481,1624,21-MAR-2012,Shop House,Freehold,Resale,14,38,387512,Central Region,Geylang
MILLAGE,55 Changi Road  #01-09 ,13,Strata,725000,55769,5181,23-MAR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-24 ,12,Strata,497000,41417,3848,26-MAR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
